warm0
Epoch: [0][720/1562]	Time: 0.349 (0.341)	Epoch time [hr]: 0.068 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9551 (2.0601)	Prec@1: 28.125 (23.847)	Prec@5: 78.125 (73.821)	Running Time: 254.302
Epoch: [0][730/1562]	Time: 0.366 (0.341)	Epoch time [hr]: 0.069 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8610 (2.0564)	Prec@1: 28.125 (23.983)	Prec@5: 78.125 (73.983)	Running Time: 257.851
Epoch: [0][740/1562]	Time: 0.339 (0.342)	Epoch time [hr]: 0.070 (0.148)	Memory: 3.511 (4.358)	Loss: 1.5745 (2.0535)	Prec@1: 37.500 (24.047)	Prec@5: 93.750 (74.144)	Running Time: 261.472
Epoch: [0][750/1562]	Time: 0.339 (0.342)	Epoch time [hr]: 0.071 (0.148)	Memory: 3.511 (4.358)	Loss: 1.5817 (2.0499)	Prec@1: 34.375 (24.168)	Prec@5: 90.625 (74.284)	Running Time: 264.923
Epoch: [0][760/1562]	Time: 0.346 (0.342)	Epoch time [hr]: 0.072 (0.148)	Memory: 3.563 (4.358)	Loss: 1.8167 (2.0474)	Prec@1: 43.750 (24.327)	Prec@5: 81.250 (74.396)	Running Time: 268.358
Epoch: [0][770/1562]	Time: 0.340 (0.342)	Epoch time [hr]: 0.073 (0.148)	Memory: 3.511 (4.358)	Loss: 1.6424 (2.0455)	Prec@1: 43.750 (24.416)	Prec@5: 90.625 (74.465)	Running Time: 271.902
Epoch: [0][780/1562]	Time: 0.349 (0.342)	Epoch time [hr]: 0.074 (0.148)	Memory: 3.511 (4.358)	Loss: 1.7604 (2.0420)	Prec@1: 37.500 (24.532)	Prec@5: 81.250 (74.584)	Running Time: 275.324
Epoch: [0][790/1562]	Time: 0.366 (0.342)	Epoch time [hr]: 0.075 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8087 (2.0388)	Prec@1: 37.500 (24.704)	Prec@5: 90.625 (74.712)	Running Time: 278.873
Epoch: [0][800/1562]	Time: 0.350 (0.342)	Epoch time [hr]: 0.076 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9655 (2.0359)	Prec@1: 37.500 (24.844)	Prec@5: 75.000 (74.805)	Running Time: 282.484
Epoch: [0][810/1562]	Time: 0.350 (0.342)	Epoch time [hr]: 0.077 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7173 (2.0337)	Prec@1: 31.250 (24.873)	Prec@5: 90.625 (74.938)	Running Time: 286.052
Epoch: [0][820/1562]	Time: 0.341 (0.342)	Epoch time [hr]: 0.078 (0.149)	Memory: 3.511 (4.358)	Loss: 1.6235 (2.0302)	Prec@1: 43.750 (25.034)	Prec@5: 90.625 (75.084)	Running Time: 289.523
Epoch: [0][830/1562]	Time: 0.346 (0.342)	Epoch time [hr]: 0.079 (0.149)	Memory: 3.511 (4.358)	Loss: 1.8819 (2.0282)	Prec@1: 34.375 (25.068)	Prec@5: 93.750 (75.192)	Running Time: 292.954
